,Year,int_tourist_arrivals_millions,domestic_aviation_CO2_emissions_Mt,international_aviation_CO2_emissions_Mt,total_aviation_CO2_emissions_Mt,fossil_fuel_emissions_GtCarbon,land_use_emissions_GtCarbon,total_emissions_GtCarbon,deforestation_emissions_GtCarbon,deforestation_HA,deforestation_emissions_Mg_co2e,shipping_emissions_all_types_Mt_co2,shipping_volume_million_metric_tons,cars_sold_EV,cars_sold_non_EV,cars_sold_total,cement_production_thousand_metric_tons,percent_reporting_happiness,visits_to_US_national_parks,tonnes_fish_landed,passenger_vehicle_emissions_Gt_co2,exports_timber_products_USD,USA_WFH_share,total_municipal_waste_tonnes,outdoor_rec_participation_rate,millions_sales_garden_equipment,paid_fishing_license_holders,paid_hunting_license_holders,participation_in_outdoor_rec_percent,participation_in_outdoor_rec_million,number_of_outdoor_excursions,Finland_outdoor_visits
89,1993,,,,,61.32928141564478,131.34929850024187,67.81353804530251,95.35231188055639,,,,40.0,,,,31.03238095238095,,83.39147058671853,,,,34.55015297204982,,,,103.71143255050347,100.56179381350054,,,,
90,1994,,,,,61.96845276612892,155.52612481857764,70.63243173272194,104.1471705871512,,,,41.36589778380823,,,,32.61904761904762,,82.0221489279602,,,,,,,,103.27131880819722,98.7383602117975,,,,
91,1995,,,,,63.421482278566366,143.4583938074504,70.8333609927842,104.78752818069677,,,,42.90366350067843,,,,34.38095238095238,,82.30553546353018,,,,30.060016137549578,,,,101.83288775652872,98.02917352236744,,,,
92,1996,,,,,65.37835756302896,158.7786647314949,74.02776363554501,105.30045230904494,,,,43.55495251017639,,,,35.54761904761905,,81.15501552609763,,,,,,,,101.98879748488704,97.45518274252777,,,,
93,1997,,,,,65.76574754767725,195.59192065795838,77.78839848014347,107.33566577339158,,,,45.563093622795115,,,,36.666666666666664,,84.03736452836307,,,,,,,,102.8906951166765,95.93092219808632,,,,
94,1998,,,,,65.50128103124125,162.26245766811803,74.46192296229226,113.8035787712509,,,,53.53233830845772,,,,36.666666666666664,,87.5565538858961,,,,41.040963282241314,,,,100.62775307147189,95.7847065609965,,,,
95,1999,,,,,66.98345612341203,158.52443154329944,75.46067737336676,113.6545223814991,,,,54.3374038896427,,,,38.095238095238095,,87.66910206776409,,,,,,,,98.4313558464108,97.46680717194486,,,,
96,2000,,79.39661151292975,56.110821361402174,65.181147185103,68.75367011482174,139.88848572810835,75.34116350521396,109.82088420037697,,,,56.46313885119856,,,,39.285714285714285,,87.29061623587413,,,,,89.34089294489486,,,98.92508853364596,96.78636312260093,,,,
97,2001,,77.1252353116021,55.17361275741628,63.72425104925467,69.28121211825284,125.84010643444606,74.51889129494876,105.42061905369593,55.244189785089816,48.58798668219433,,56.09226594301221,,,,41.19047619047619,,85.45335099468647,,,,,89.15021442777966,,,100.20039659134588,96.47057362860198,,,,
98,2002,,73.76647181214703,58.39615633840659,64.38323122195956,70.81897356711313,135.4228350266086,76.80166300953506,105.28024728118326,68.05928963273594,60.49132875541662,,57.30438715513342,,,,42.857142857142854,,69.40102175395259,,,,,90.30030839820465,,,99.77266579028355,96.27894745069572,,,,
99,2003,,73.18438521747746,58.070583029096134,63.957740363741614,74.57223637473652,160.4460570875665,82.52464647767117,113.49199597317359,59.879408916140875,50.3931520827265,,59.72862957937585,,,,48.333333333333336,,81.28756666238057,,,,42.414905026394024,90.12550835056923,,,99.35133891226653,94.82361649186815,,,,
100,2004,,74.77955018329534,63.690673747095914,68.01003425153166,77.16766794153355,142.70803096274793,83.23708281923956,107.74419725778799,82.35537083987458,74.37106958070011,,61.39303482587065,,,,52.142857142857146,,84.5478735843936,,,,57.29889447185259,91.27163270362426,,,97.32204057652439,96.27887668770536,,,,
101,2005,,75.62914891508966,67.78404690784379,70.83988614983839,79.81396164836923,129.16061925495887,84.38374619084354,103.40029350461526,74.86645076831445,73.57871787582629,,64.42333785617367,,,,55.952380952380956,,83.50377817010867,,,,47.22476281182168,91.93921283856388,,,94.11396851751846,94.43025789443178,,,,
102,2006,,74.05875359159813,70.19265721555797,71.69858652129865,82.54680556972338,140.81083696178035,87.94239025471539,100.9003643994497,73.01311082005405,70.24393621275657,,71.4880144730891,,,,62.38095238095238,,83.2397173714107,,,,48.52148018783451,92.86262796882893,,,95.99772345425518,94.73509199092253,,,,
103,2007,,75.25760428019419,72.54753212270636,73.60316464855998,84.98924073183044,121.33333333333334,88.35491290976583,100.86846172387862,76.0664817195145,75.45261084964068,,72.93532338308458,,,,66.9047619047619,,84.14276742396392,,,,55.92865611065855,93.45464849038189,98.61932938856015,,95.09460843635759,93.76407580414579,98.56233061780117,90.11086327176501,105.02050264144667,
104,2008,,71.90627167343703,73.69019961120857,72.99532056539148,86.44339793740585,128.87880986937589,90.37316134805579,102.37798998964918,76.98848493576368,74.07021054073206,,75.03392130257802,,,,67.85714285714286,,83.92030604101956,,,,63.086452025123805,92.47155221621,95.66074950690336,,94.85794655357994,94.07359312399882,95.80258536050272,88.46491508588383,103.17803768282478,
105,2009,,67.46507480431983,70.02670965498712,69.02889671474746,85.00885548560248,139.2747943880019,90.03419379232348,103.6494888482427,70.28991412056858,74.0087313333619,,70.92718227046585,,,,72.14285714285714,,87.19555724285246,,,,89.03233970001865,91.44287378396247,96.44970414201183,,94.89143647446602,92.981244140744,96.39395934420953,89.67642496927708,92.58386417074904,
106,2010,66.41638225255973,71.37124739918754,73.6301423988115,72.75025326836798,89.89772977214152,144.92428640541848,94.99350565899218,104.72390006664097,76.74946431266434,79.11851106579759,,75.65807327001357,0.3581730769230769,86.90941991786447,84.6590875,78.0952380952381,,85.88992212331064,94.45319729729333,86.98060941828255,,74.88410344698619,91.7906943955847,95.66074950690336,75.6429455042646,95.7406425330156,92.94422866378437,95.80258536050272,89.78602844822704,93.04448041040449,67.35874599216245
107,2011,69.28327645051195,73.32804914297037,75.82065019834685,74.84972743499445,92.99342316132113,139.38800193517173,97.289828211195,104.66807038439161,72.7182952085271,74.67388845101716,,78.71551334237901,2.355769230769231,92.4150616016427,90.07352,86.42857142857143,120.3125,85.16795784338504,99.19741845574293,86.70360110803324,,63.82170854422783,92.1527508763957,97.43589743589742,79.93358942639495,95.76179672430737,96.33116410458538,97.37958265038755,91.91049046354249,106.26335626455088,68.49732810830068
108,2012,72.35494880546075,74.7770732190627,76.05929859497732,75.55984369723575,94.32880078482042,149.25471698113205,99.4152567879039,104.8518652430984,97.34560222719968,97.68111310802531,87.02307929416659,82.45137946630484,5.769230769230769,96.09856262833677,93.75,90.95238095238095,,86.33628512145822,96.13371513563796,87.81163434903047,87.4396481442558,80.2027480501572,91.61863201510097,97.43589743589742,85.41571716908652,98.88677290771626,96.24102492085964,97.37958265038755,92.35596620410168,114.25409869250332,71.0979693623085
109,2013,75.69965870307168,77.09303477657782,77.48328670997108,77.33127502532683,95.1417407445554,135.1069182389937,98.84274622718281,103.2390077558951,85.3935742322788,80.62887572277656,86.70583970534517,85.78018995929443,9.663461538461538,95.28162217659137,93.05555,95.95238095238095,120.3125,83.54717871583793,97.38407951344098,90.58171745152355,95.31479064120757,75.41961062278234,91.69747682906964,96.84418145956607,90.83056622609979,94.24658604130924,94.12331377422836,96.90746908672828,92.82460780306101,111.06706388479257,75.26184538653366
110,2014,78.56655290102388,79.68146239968294,79.96143694782924,79.85238072265908,95.5417994709123,142.5021770682148,99.89060074867609,104.01796475108841,98.17265965934759,101.52740379378574,87.1838442136104,87.92401628222524,15.865384615384615,102.87193275154006,100.6097625,98.80952380952381,,89.40006858094733,97.89456304627286,91.68975069252078,101.98168283898839,89.6842484355957,92.3576652626997,95.2662721893491,94.14458406580289,94.18367314592602,93.90307361621846,95.4408616071354,92.07013002456898,108.88655395761302,77.3095831848949
111,2015,82.97610921501706,83.92945605865451,84.54949188437406,84.30797433547204,95.41998662908252,146.077648766328,100.11117773746992,104.31643200476412,81.17079542379805,88.0865299743278,90.26057293457495,90.14020805065581,26.442307692307693,103.095931724846,101.1029375,96.66666666666667,,93.8111943565221,99.24396847078985,94.73684210526316,90.44717059312497,94.97351264506945,93.42220713463436,95.46351084812622,92.67096382142934,95.98633870217468,95.49076353202273,95.4226275759711,92.70744922639966,107.4985117926882,85.2340577128607
112,2016,85.01023890784984,88.22451203804617,88.36154441863037,88.30816730184765,95.45167867643917,116.3599419448476,97.38790420676156,102.68992726189971,122.75424989280495,129.68830571397035,93.48963965341284,93.19764812302125,36.53846153846153,107.39790811088297,105.5555625,98.57142857142858,,101.05492967366033,97.08071029816907,96.95290858725762,92.09819007392377,82.83517665803389,95.67749733419662,96.44970414201183,92.76862642967207,97.92367886123343,99.1559197519384,96.10738936793828,94.04235274511741,101.52860842278047,93.80833630210189
113,2017,91.92491467576792,94.26582780144655,94.0748818611414,94.14925949153358,96.99662668056142,111.7324625060474,98.36124990008322,102.41343740695052,121.52513375606473,125.9230215931159,96.48785684988029,96.6711895070104,56.730769230769226,106.65517197125256,105.3571375,98.09523809523809,95.3125,101.0277744104338,101.01713889904434,98.33795013850416,95.23551505979144,96.94349904288717,96.07678608827061,96.44970414201183,95.26227836013629,99.14766785579323,99.62221569344288,96.5536001597372,95.14032872255146,100.02634853863374,95.83754898468115
114,2018,99.67235494880546,97.94164272267908,98.38793798302594,98.21409619373824,98.99243073296896,101.53096274794386,99.22751340979568,99.07730372765057,102.38160986061186,105.78205697842374,98.11205297855999,99.65626413387608,99.03846153846155,107.51197381930184,107.2916625,96.66666666666667,109.375,97.15898813672109,104.17783525042263,99.44598337950139,106.8509556445601,73.65568698620561,99.60427021322322,99.60552268244575,97.64090544089242,100.36596784657348,100.4871645906628,99.53607716313974,98.84416804062707,93.55407388269929,97.83541147132169
115,2019,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
116,2020,27.71331058020478,69.30298226493609,47.818184691732654,56.18698441796517,94.66974740308962,90.81664247701983,94.31292770778093,100.8764373927714,106.73735875566024,101.35458860496429,99.14024541883967,96.1917684305744,143.26923076923077,87.23354722792608,88.690475,100.47619047619048,98.4375,72.38238252575513,97.08620716478748,88.6426592797784,98.08957201848979,647.8627004078045,101.08603255907545,104.14201183431953,116.67860320767412,98.76290640040915,97.51425054048451,104.19568999583613,104.61385720516468,105.45908207896453,111.62522265764161
117,2021,31.399317406143346,79.54275240265531,54.34861631343543,64.1622847218872,99.69668839108218,93.82148040638606,99.15261031296122,101.12953195230176,104.54474377050838,103.50813493721425,103.82056609457531,99.27634554500227,317.30769230769226,86.7008521560575,92.69663,103.57142857142858,104.6875,90.71765790303301,99.03604467533955,96.39889196675901,133.8481407255701,469.57719455662925,101.99370610321827,106.11439842209072,138.38357531957374,98.61528231655964,97.79875635974335,106.22517886347613,106.92284152407679,114.35706272788117,116.33345208407553
118,2022,66.55290102389078,86.13147726146835,69.02154157381506,75.68623667325969,100.51088053967516,93.51136913401064,99.86268549308285,100.94609156776819,94.3900821984237,101.23995681348777,105.14659899693571,98.89909543193124,490.3846153846154,80.41214579055442,91.07142999999999,98.57142857142858,,95.25806627846265,98.41305174546623,97.78393351800554,130.9069434985043,424.5639891574547,100.23653444190602,108.48126232741618,144.11528528333008,102.03977594969773,98.97988073090964,108.46526625719657,109.42656643642425,109.12607698168482,104.59280370502316
119,2023,70.64846416382252,,,,101.85232240833979,95.7261731978713,101.28500572825014,,116.88314008997507,130.27294343688598,,101.19355444595206,663.4615384615385,80.68104209445586,95.83333499999999,97.61904761904762,114.0625,99.38385630440328,98.12491311325687,,,402.4972379074324,,113.01775147928991,146.25952210430367,108.73179797002047,102.5348718408265,112.90284615071293,114.45968878733616,108.62124858438926,107.94299964374778
120,2024,98.63481228668942,,,,,,,,122.42382006838419,124.7943701259262,,,,,,95.23809523809523,110.9375,,,,,386.81093599381506,,,135.6880873320746,104.5668165906323,102.42289905807385,,,,97.61168507303171
