Country Name En,Unit Name,2022,2022 Flag,2021,2021 Flag,2020,2020 Flag,2019,2019 Flag,2018,2018 Flag,2017,2017 Flag,2016,2016 Flag,2015,2015 Flag,2014,2014 Flag,2013,2013 Flag,2012,2012 Flag,2011,2011 Flag,2010,2010 Flag,2009,2009 Flag,2008,2008 Flag,2007,2007 Flag,2006,2006 Flag,2005,2005 Flag,2004,2004 Flag,2003,2003 Flag,2002,2002 Flag,2001,2001 Flag,2000,2000 Flag
Chile,Tonnes - live weight,2690091.465,A,2391196.602,A,2183235.138,A,2380299.998,A,2371682.221,A,2335016.12,A,1826602.405,A,2131693,A,2592748,A,2288875.04,A,3007536.309,A,3466956,A,3048316,A,3821818,A,3939379,A,4132854,A,4461856.001,A,4738165,A,5317385,A,3921103,A,4515437,A,4031799,A,4547594,A
China,Tonnes - live weight,13179077,A,13142837,A,13445983,A,14169893.45,A,14831109.11,A,15576685.31,A,16019261.58,A,16647934.69,A,16363366.41,A,15633567.44,A,15446318.15,A,15263615.15,A,15054057,A,15062980,A,15157263,A,14987636,A,14995706,A,14850730,E,14786243,E,14598934,E,14426596,E,14403875,E,14823866,E
"China, Hong Kong SAR",Tonnes - live weight,77199.998,E,115178.999,E,119428,E,122929,E,124299,E,127554,E,142775,E,145193,E,160789,E,170129,E,155230,E,170720,E,168010,E,158965,E,158126,E,154147,E,154536,E,161964,E,167544,E,157444,E,169790,E,173972,E,157012,E
"China, Macao SAR",Tonnes - live weight,1500,E,1500,E,1500,E,1500,E,1500,E,1500,E,1500,E,1500,E,1500,E,1500,E,1500,E,1500,E,1500,E,1500,E,1500,E,1500,E,1500,E,1500,E,1500,E,1500,E,1500,E,1500,E,1500,E
Colombia,Number,415192,A,321987,A,245158,A,368339,A,369674,A,313164,A,370648,A,517275,A,740043,A,857696,A,629746,A,640095,A,647765,A,405396,A,532761,A,673312,A,974730,A,602086,A,612071,A,555849,A,540579,A,704413,A,832203,A
Colombia,Tonnes - live weight,107570,E,130030.129,A,91922.453,A,112072.552,A,81581,A,88261.5,A,69381,A,81951,A,92879,A,70706,A,72004,A,87491,A,81168,A,106450,A,112892,E,121655,E,103997,E,121002,A,112492,A,130147,A,124799,A,146164,A,137061,A
Comoros,Tonnes - live weight,18933.313,A,19396.261,A,20770.516,A,17593.855,A,13772.438,A,17515.848,A,20157.488,A,11762.692,A,9256.891,A,43732.217,A,36295.225,A,38180,A,63447,A,44745,A,22714,A,14401,A,10464,E,10738,A,10987,A,11053,A,11178,A,11425,A,12003,A
Congo,Tonnes - live weight,64134.185,A,69419,A,70637.352,A,70349.837,A,98734,A,95035,A,86834,A,69349,A,73536,A,73326,A,81150,A,73233,A,65186,A,61218,A,54104,A,59216,A,59082,A,54616,A,57024,A,53865,A,51927,E,48830,E,45958,E
Cook Islands,Tonnes - live weight,6461.332,A,5474.553,A,2648.017,A,5782.676,A,4448.088,A,4142,A,2303,A,5406,A,3814.185,A,3835.2,A,8357.7,A,6688.1,A,10039,A,2708,A,3754,A,4303,A,3912,A,3994,A,4069,A,3305,A,1411,E,827,E,1025,E
Costa Rica,Number,,,,,,,0,A,0,A,0,A,0,A,0,A,0,A,0,A,0,A,3,A,0,A,0,A,0,A,0,A,0,A,0,A,0,A,0,A,0,A,0,A,0,A
Costa Rica,Tonnes - live weight,33668.684,A,29598.006,A,26679.394,A,17768.968,A,14422.587,A,12498.876,A,11776.618,A,14750,E,14746,A,18558,A,15045,A,13928,A,17916,A,19814,A,21405,A,19751,A,19195,A,21489,A,20000,A,29556,A,33045,A,34016,A,35163,A
Côte d'Ivoire,Tonnes - live weight,99943.344,E,104272.899,E,74589.199,E,109994.893,E,109087.039,A,95248.739,A,104552.333,A,98559.918,A,74806.818,A,61346.018,A,52513.206,A,52468,A,48038,A,42893,A,43799,A,47300,A,54830,A,42665,A,54401,A,68903,E,69870,A,76005,A,80323,A
Croatia,Number,,,,,,,1,A,0,A,6,A,4,A,3,A,0,A,0,A,0,A,0,A,0,A,2,A,6,A,3,A,0,A,2,A,0,A,1,A,4,A,0,A,0,A
Croatia,Tonnes - live weight,63683.138,A,62449.339,A,71676.518,A,64620.402,A,70591.055,A,69975.351,A,73345.602,A,73985.562,A,80369.888,A,75832.335,A,64389.18,A,71396.06,A,52867.3,A,55788.5,A,49062.08,A,40225.633,A,37876.132,A,34693.09,A,30172.121,A,19957.036,A,21235.539,A,18551.125,A,21068.244,A
Cuba,Number,,,,,,,4,A,,,,,,,,,,,,,0,A,0,A,0,A,0,A,1,A,0,A,0,A,1,A,1,A,0,A,1,A,3,A,2,A
Cuba,Tonnes - live weight,14534.5,E,18052.8,E,20186.2,E,18546.1,E,22621,E,21548,E,23574,E,25634,E,25056,A,22103,A,22320,A,24106,A,23996,A,28892,A,28714,A,29485,A,27587,A,28234,A,32194,A,34088,A,32586,A,54708,A,68486,A
Curaçao,Tonnes - live weight,8826.804,A,25027.248,A,23051.82,A,29213.834,A,37910.538,A,32625.634,A,35534.159,A,30158.69,A,28495.269,A,26196.689,A,25071.897,A,22074,A,,,,,,,,,,,,,,,,,,,,,,
Cyprus,Tonnes - live weight,1300.979,A,1401.337,A,1327.323,A,1559.205,A,1490,A,1756,A,1494,A,1488,A,1268,A,1183,A,1323,A,1188,A,1395,A,1409,A,1996,A,2446,A,29940,A,61313,A,78724,A,47740,A,141079,A,54723,A,68345,A
Czechia,Tonnes - live weight,3381,A,3314,A,3729,A,3721,A,3650,A,3557,A,3507,A,3841,A,3812,A,3761,A,4033,A,3859,A,3990,A,4112,A,4164,A,4276,A,4646,A,4242,A,4528,A,5127,A,4983,A,4646,A,4654,A
Czechoslovakia,Tonnes - live weight,,,,,,,,,,,0,A,0,A,0,A,0,A,0,A,0,A,0,A,0,A,0,A,0,A,0,A,0,A,0,A,0,A,0,A,0,A,0,A,0,A
